Sydney,New South Wales,"5,131,326","4,391,674",20.86%
Melbourne,Victoria,"4,850,740","3,999,982",19.72%
Brisbane,Queensland,"2,408,223","2,065,996",9.79%
Perth,Western Australia,"2,043,138","1,728,867",8.31%
Adelaide,South Australia,"1,333,927","1,262,940",5.42%
Gold Coast–Tweed Heads,Queensland,"663,321","557,822",2.70%
Newcastle–Maitland,New South Wales,"481,183","398,77",1.96%
Canberra–Queanbeyan,Australian Capital Territory,"447,457","391,645",1.82%
Sunshine Coast,Queensland,"325,399","270,77",1.32%
Wollongong,New South Wales,"299,203","268,944",1.22%
Geelong,Victoria,"260,138","173,454",1.06%
Hobart,Tasmania,"226,884","211,656",0.92%
Townsville,Queensland,"180,346","162,292",0.73%
Cairns,Queensland,"151,925","133,911",0.62%
Darwin,Northern Territory,"146,612","120,586",0.60%
Toowoomba,Queensland,"135,631","105,984",0.55%
Ballarat,Victoria,"103,481","91,801",0.42%
Bendigo,Victoria,"97,096","86,079",0.39%
Albury–Wodonga,New South Wales,"91,923","82,083",0.37%
Launceston,Tasmania,"86,788","82,22",0.35%
Mackay,Queensland,"80,427","77,293",0.33%
Rockhampton,Queensland,"78,871","73,681",0.32%
Bunbury,Western Australia,"74,478","65,608",0.30%
Coffs Harbour,New South Wales,"70,857","64,243",0.29%
Bundaberg,Queensland,"70,578","67,341",0.29%
Wagga Wagga,New South Wales,"56,181","52,042",0.23%
Hervey Bay,Queensland,"53,492","48,68",0.22%
Mildura–Wentworth,Victoria,"51,473","47,536",0.21%
Shepparton–Mooroopna,Victoria,"51,142","46,505",0.21%
Port Macquarie,New South Wales,"46,948","41,723",0.19%
Gladstone–Tannum Sands,Queensland,"44,984","41,966",0.18%
Tamworth,New South Wales,"42,347","38,735",0.17%
Traralgon–Morwell,Victoria,"41,626","39,705",0.17%
Orange,New South Wales,"40,079","36,468",0.16%
Bowral–Mittagong,New South Wales,"39,3","34,858",0.16%
Busselton,Western Australia,"38,289","30,286",0.15%
Geraldton,Western Australia,"37,931","35,749",0.15%
Dubbo,New South Wales,"37,666","33,997",0.15%
Nowra–Bomaderry,New South Wales,"37,027","33,338",0.15%
Warragul–Drouin,Victoria,"36,538","29,944",0.15%
Bathurst,New South Wales,"36,448","32,479",0.15%
Warrnambool,Victoria,"34,912","32,38",0.14%
Albany,Western Australia,"34,151","30,656",0.14%
Kalgoorlie–Boulder,Western Australia,"30,541","30,842",0.12%
Devonport,Tasmania,"30,153","29,051",0.12%
Mount Gambier,South Australia,"29,472","27,756",0.12%
Lismore,New South Wales,"28,764","28,285",0.12%
Nelson Bay,New South Wales,"27,606","25,074",0.12%
Maryborough,Queensland,"27,347","26,214",0.11%
Burnie–Wynyard,Tasmania,"26,993","26,869",0.11%
Alice Springs,Northern Territory,"26,674","25,186",0.11%
Victor Harbor–Goolwa,South Australia,"26,358","23,85",0.11%
Taree,New South Wales,"26,314","25,421",0.11%
Ballina,New South Wales,"25,656","23,509",0.10%
Morisset–Cooranbong,New South Wales,"24,694","21,774",0.10%
Armidale,New South Wales,"24,326","22,464",0.10%
Goulburn,New South Wales,"23,588","21,484",0.10%
Whyalla,South Australia,"21,978","21,991",0.09%
Gympie,Queensland,"21,501","19,51",0.09%
Forster–Tuncurry,New South Wales,"21,02","19,5",0.09%
Echuca–Moama,Victoria,"20,851","19,309",0.08%
Griffith,New South Wales,"19,972","17,9",0.08%
Grafton,New South Wales,"19,089","18,359",0.08%
Wangaratta,Victoria,"19,067","17,686",0.08%
St Georges Basin–Sanctuary Point,New South Wales,"18,77","12,611",0.08%
Yeppoon,Queensland,"18,764","16,372",0.08%
Mount Isa,Queensland,"18,563","20,569",0.08%
Murray Bridge,South Australia,"18,382","16,708",0.07%
Broken Hill,New South Wales,"17,78","18,517",0.07%
Camden Haven,New South Wales,"17,343","15,741",0.07%
Moe–Newborough,Victoria,"16,726","16,674",0.07%
Karratha,Western Australia,"16,477","16,476",0.07%
Singleton,New South Wales,"16,461","16,135",0.07%
Batemans Bay,New South Wales,"16,452","15,733",0.07%
Horsham,Victoria,"16,426","15,894",0.07%
Port Lincoln,South Australia,"16,342","15,221",0.07%
Ulladulla,New South Wales,"15,89","14,149",0.06%
Warwick,Queensland,"15,328","14,607",0.06%
Kempsey,New South Wales,"15,19","14,494",0.06%
Bairnsdale,Victoria,"15,155","13,243",0.06%
Sale,Victoria,"14,826","14,258",0.06%
Broome,Western Australia,"14,539","12,766",0.06%
Ulverstone,Tasmania,"14,429","14,109",0.06%
Port Hedland,Western Australia,"14,314","13,772",0.06%
Port Pirie,South Australia,"14,286","14,043",0.06%
Emerald,Queensland,"14,047","13,219",0.06%
Port Augusta,South Australia,"13,988","13,658",0.06%
Lithgow,New South Wales,"13,059","12,249",0.05%
Colac,Victoria,"12,465","11,778",0.05%
Muswellbrook,New South Wales,"12,401","11,791",0.05%
Esperance,Western Australia,"12,222","11,432",0.05%
Mudgee,New South Wales,"12,186","10,483",0.05%
Parkes,New South Wales,"11,231","10,941",0.05%
Swan Hill,Victoria,"11,061","10,43",0.04%
Portland,Victoria,"10,937","10,715",0.04%
Kingaroy,Queensland,"10,484","9,808",0.04%
